"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence","mode"
"663","CSF2_ITGB1","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","CSF2","ITGB1","","novel","putative","CSF"
"664","CSF2_SDC2","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","SDC2","syndecan 2","","","","HPRD","STRING.binding","","CSF2","SDC2","","novel","literature supported","CSF"
"665","CSF3_CSF1R","CSF3","colony stimulating factor 3 (granulocyte)","CSF1R","colony stimulating factor 1 receptor","","","IUPHAR","","","","","CSF1R","","known","literature supported","CSF"
"666","CSF3_CSF3R","CSF3","colony stimulating factor 3 (granulocyte)","CSF3R","colony stimulating factor 3 receptor (granulocyte)","DLRP","","IUPHAR","HPRD","","","","CSF3R","","known","literature supported","CSF"
"667","CSH1_PRLR","CSH1","chorionic somatomammotropin hormone 1 (placental lactogen)","PRLR","prolactin receptor","","","IUPHAR","HPRD","","","","PRLR","","known","literature supported","UNCAT"
"668","CSH2_PRLR","CSH2","chorionic somatomammotropin hormone 2","PRLR","prolactin receptor","","","IUPHAR","","","","","PRLR","","known","literature supported","UNCAT"
"669","CSHL1_GHR","CSHL1","chorionic somatomammotropin hormone-like 1","GHR","growth hormone receptor","","","","","STRING.binding","STRING.experiment","","GHR","","novel","putative","UNCAT"
"670","CSHL1_PRLR","CSHL1","chorionic somatomammotropin hormone-like 1","PRLR","prolactin receptor","","","IUPHAR","","","","","PRLR","","known","literature supported","UNCAT"
"671","CTF1_IL6ST","CTF1","cardiotrophin 1","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","DLRP","","","HPRD","","","","IL6ST","","known","literature supported","Interleukins"
"672","CTF1_LIFR","CTF1","cardiotrophin 1","LIFR","leukemia inhibitory factor receptor alpha","DLRP","","","HPRD","STRING.binding","","","LIFR","","known","literature supported","Interleukins"
"673","CTGF_ERBB4","CTGF","connective tissue growth factor","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","HPRD","","","CTGF","ERBB4","","novel","literature supported","Matrix (assorted)"
"674","CTGF_ITGA5","CTGF","connective tissue growth factor","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","","","","","","18167060","novel","literature supported","Matrix (assorted)"
"675","CTGF_ITGAM","CTGF","connective tissue growth factor","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","","HPMR","","","STRING.binding","","CTGF","ITGAM","","known","literature supported","Matrix (assorted)"
"676","CTGF_ITGB2","CTGF","connective tissue growth factor","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","","STRING.binding","","CTGF","ITGB2","","known","literature supported","Matrix (assorted)"
"677","CTGF_LRP1","CTGF","connective tissue growth factor","LRP1","low density lipoprotein receptor-related protein 1","","","","HPRD","","","CTGF","LRP1","","novel","literature supported","Matrix (assorted)"
"678","CTGF_LRP6","CTGF","connective tissue growth factor","LRP6","low density lipoprotein receptor-related protein 6","","HPMR","","","","","CTGF","LRP6","","known","literature supported","Matrix (assorted)"
"679","CTGF_NTRK1","CTGF","connective tissue growth factor","NTRK1","neurotrophic tyrosine kinase, receptor, type 1","","","","","STRING.binding","","CTGF","NTRK1","15601748","novel","literature supported","Matrix (assorted)"
"680","CTHRC1_FZD3","CTHRC1","collagen triple helix repeat containing 1","FZD3","frizzled class receptor 3","","","","","","","","","18606138","novel","literature supported","UNCAT"
"681","CTHRC1_FZD5","CTHRC1","collagen triple helix repeat containing 1","FZD5","frizzled class receptor 5","","","","","STRING.binding","","","FZD5","18606138","novel","literature supported","UNCAT"
"682","CTHRC1_FZD6","CTHRC1","collagen triple helix repeat containing 1","FZD6","frizzled class receptor 6","","","","","STRING.binding","","","FZD6","18606138","novel","literature supported","UNCAT"
"683","CUBN_LRP2","CUBN","cubilin (intrinsic factor-cobalamin receptor)","LRP2","low density lipoprotein receptor-related protein 2","","","","HPRD","STRING.binding","","","LRP2","","novel","literature supported","UNCAT"
"684","CX3CL1_CX3CR1","CX3CL1","chemokine (C-X3-C motif) ligand 1","CX3CR1","chemokine (C-X3-C motif) receptor 1","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CX3CL1","CX3CR1","","known","literature supported","UNCAT"
"685","CXCL10_CCR3","CXCL10","chemokine (C-X-C motif) ligand 10","CCR3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL10","CCR3","","known","literature supported","CC"
"686","CXCL10_CXCR3","CXCL10","chemokine (C-X-C motif) ligand 10","CXCR3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL10","CXCR3","","known","literature supported","CXCL"
"687","CXCL10_SDC4","CXCL10","chemokine (C-X-C motif) ligand 10","SDC4","syndecan 4","","","","","STRING.binding","","CXCL10","SDC4","20484822","novel","literature supported","CXCL"
"688","CXCL11_ACKR3","CXCL11","chemokine (C-X-C motif) ligand 11","ACKR3","atypical chemokine receptor 3","","","IUPHAR","","","","CXCL11","CMKOR1","","known","literature supported","CXCL"
"689","CXCL11_CCR3","CXCL11","chemokine (C-X-C motif) ligand 11","CCR3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL11","CCR3","","known","literature supported","CC"
"690","CXCL11_CXCR3","CXCL11","chemokine (C-X-C motif) ligand 11","CXCR3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL11","CXCR3","","known","literature supported","CXCL"
"691","CXCL12_ACKR3","CXCL12","chemokine (C-X-C motif) ligand 12","ACKR3","atypical chemokine receptor 3","","HPMR","IUPHAR","","STRING.binding","","CXCL12","CMKOR1","","known","literature supported","CXCL"
"692","CXCL12_CCR4","CXCL12","chemokine (C-X-C motif) ligand 12","CCR4","chemokine (C-C motif) receptor 4","","","","","","STRING.experiment","CXCL12","CCR4","","novel","putative","CC"
"693","CXCL12_CD4","CXCL12","chemokine (C-X-C motif) ligand 12","CD4","CD4 molecule","","","","HPRD","","","CXCL12","","","novel","literature supported","CXCL"
"694","CXCL12_CXCR3","CXCL12","chemokine (C-X-C motif) ligand 12","CXCR3","chemokine (C-X-C motif) receptor 3","","HPMR","IUPHAR","","","","CXCL12","CXCR3","","known","literature supported","CXCL"
"695","CXCL12_CXCR4","CXCL12","chemokine (C-X-C motif) ligand 12","CXCR4","chemokine (C-X-C motif) receptor 4","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL12","CXCR4","","known","literature supported","CXCL"
"696","CXCL12_ITGB1","CXCL12","chemokine (C-X-C motif) ligand 12","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","","","","","18448868","novel","literature supported","CXCL"
"697","CXCL12_SDC4","CXCL12","chemokine (C-X-C motif) ligand 12","SDC4","syndecan 4","","","","","STRING.binding","","CXCL12","SDC4","","novel","putative","CXCL"
"698","CXCL13_ACKR4","CXCL13","chemokine (C-X-C motif) ligand 13","ACKR4","atypical chemokine receptor 4","","","","HPRD","","","CXCL13","CCRL1","","novel","literature supported","CXCL"
"699","CXCL13_CCR10","CXCL13","chemokine (C-X-C motif) ligand 13","CCR10","chemokine (C-C motif) receptor 10","","","","HPRD","","","CXCL13","CCR10","","novel","literature supported","CC"
"700","CXCL13_CXCR3","CXCL13","chemokine (C-X-C motif) ligand 13","CXCR3","chemokine (C-X-C motif) receptor 3","","","","HPRD","STRING.binding","","CXCL13","CXCR3","","novel","literature supported","CXCL"
"701","CXCL13_CXCR5","CXCL13","chemokine (C-X-C motif) ligand 13","CXCR5","chemokine (C-X-C motif) receptor 5","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL13","BLR1","","known","literature supported","CXCL"
"702","CXCL13_HTR2A","CXCL13","chemokine (C-X-C motif) ligand 13","HTR2A","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","","","","","STRING.binding","","CXCL13","HTR2A","","novel","putative","CXCL"
"703","CXCL13_OPRD1","CXCL13","chemokine (C-X-C motif) ligand 13","OPRD1","opioid receptor, delta 1","","","","","STRING.binding","","CXCL13","","","novel","putative","CXCL"
"704","CXCL16_CXCR6","CXCL16","chemokine (C-X-C motif) ligand 16","CXCR6","chemokine (C-X-C motif) receptor 6","","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL16","CXCR6","","known","literature supported","CXCL"
"705","CXCL1_CXCR1","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","CXCR1","chemokine (C-X-C motif) receptor 1","","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL1","IL8RA","","known","literature supported","CXCL"
"706","CXCL1_CXCR2","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","CXCR2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL1","IL8RB","","known","literature supported","CXCL"
"707","CXCL1_DARC","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","DARC","Duffy blood group, atypical chemokine receptor","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","CXCL1","DARC","","known","literature supported","CXCL"
"708","CXCL2_CXCR1","CXCL2","chemokine (C-X-C motif) ligand 2","CXCR1","chemokine (C-X-C motif) receptor 1","","HPMR","","HPRD","","","CXCL2","IL8RA","","known","literature supported","CXCL"
"709","CXCL2_CXCR2","CXCL2","chemokine (C-X-C motif) ligand 2","CXCR2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","","","CXCL2","IL8RB","","known","literature supported","CXCL"
"710","CXCL2_XCR1","CXCL2","chemokine (C-X-C motif) ligand 2","XCR1","chemokine (C motif) receptor 1","","HPMR","","","","","CXCL2","XCR1","","known","literature supported","CXCL"
"711","CXCL3_CXCR1","CXCL3","chemokine (C-X-C motif) ligand 3","CXCR1","chemokine (C-X-C motif) receptor 1","","HPMR","","HPRD","","","CXCL3","IL8RA","","known","literature supported","CXCL"
"712","CXCL3_CXCR2","CXCL3","chemokine (C-X-C motif) ligand 3","CXCR2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","","CXCL3","IL8RB","","known","literature supported","CXCL"
"713","CXCL5_CXCR1","CXCL5","chemokine (C-X-C motif) ligand 5","CXCR1","chemokine (C-X-C motif) receptor 1","DLRP","HPMR","","HPRD","","STRING.experiment","CXCL5","IL8RA","","known","literature supported","CXCL"
"714","CXCL5_CXCR2","CXCL5","chemokine (C-X-C motif) ligand 5","CXCR2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL5","IL8RB","","known","literature supported","CXCL"
"715","CXCL5_DARC","CXCL5","chemokine (C-X-C motif) ligand 5","DARC","Duffy blood group, atypical chemokine receptor","","","","HPRD","","","CXCL5","DARC","","novel","literature supported","CXCL"
"716","CXCL6_CXCR1","CXCL6","chemokine (C-X-C motif) ligand 6","CXCR1","chemokine (C-X-C motif) receptor 1","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL6","IL8RA","","known","literature supported","CXCL"
"717","CXCL6_CXCR2","CXCL6","chemokine (C-X-C motif) ligand 6","CXCR2","chemokine (C-X-C motif) receptor 2","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL6","IL8RB","","known","literature supported","CXCL"
"718","CXCL9_CCR3","CXCL9","chemokine (C-X-C motif) ligand 9","CCR3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL9","CCR3","","known","literature supported","CC"
"719","CXCL9_CXCR3","CXCL9","chemokine (C-X-C motif) ligand 9","CXCR3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL9","CXCR3","","known","literature supported","CXCL"
"720","CYR61_CAV1","CYR61","cysteine-rich, angiogenic inducer, 61","CAV1","caveolin 1, caveolae protein, 22kDa","","","","","STRING.binding","","CYR61","","","novel","putative","Matrix (assorted)"
"721","CYR61_ITGA5","CYR61","cysteine-rich, angiogenic inducer, 61","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","CYR61","ITGA5","","known","literature supported","Matrix (assorted)"
"722","CYR61_ITGAM","CYR61","cysteine-rich, angiogenic inducer, 61","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","","HPMR","","","STRING.binding","","CYR61","ITGAM","","known","literature supported","Matrix (assorted)"
"723","CYR61_ITGAV","CYR61","cysteine-rich, angiogenic inducer, 61","ITGAV","integrin, alpha V","","","","HPRD","STRING.binding","STRING.experiment","CYR61","ITGAV","","novel","literature supported","Matrix (assorted)"
"724","CYR61_ITGB2","CYR61","cysteine-rich, angiogenic inducer, 61","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","","STRING.binding","","CYR61","ITGB2","","known","literature supported","Matrix (assorted)"
"725","CYR61_ITGB3","CYR61","cysteine-rich, angiogenic inducer, 61","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","CYR61","ITGB3","","known","literature supported","Matrix (assorted)"
"726","CYR61_ITGB5","CYR61","cysteine-rich, angiogenic inducer, 61","ITGB5","integrin, beta 5","","","","HPRD","STRING.binding","","CYR61","ITGB5","","novel","literature supported","Matrix (assorted)"
"727","DCN_EGFR","DCN","decorin","EGFR","epidermal growth factor receptor","","","","HPRD","STRING.binding","STRING.experiment","","EGFR","","novel","literature supported","EGF"
"728","DCN_ERBB4","DCN","decorin","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","","STRING.binding","","","ERBB4","10942781","novel","literature supported","UNCAT"
"729","DCN_MET","DCN","decorin","MET","met proto-oncogene","","","","","","","","","10942781","novel","literature supported","MET"
"730","DEFB103A_CCR6","DEFB103A","defensin, beta 103A","CCR6","chemokine (C-C motif) receptor 6","","","","HPRD","","","","CCR6","","novel","literature supported","CC"
"731","DEFB103B_CCR2","DEFB103B","defensin, beta 103B","CCR2","chemokine (C-C motif) receptor 2","","","","","","","","","23390582","novel","literature supported","CC"
"732","DEFB103B_CCR6","DEFB103B","defensin, beta 103B","CCR6","chemokine (C-C motif) receptor 6","","","","","","","","","23390582","novel","literature supported","CC"
"733","DEFB1_CCR6","DEFB1","defensin, beta 1","CCR6","chemokine (C-C motif) receptor 6","","","","HPRD","STRING.binding","","DEFB1","CCR6","","novel","literature supported","CC"
"734","DEFB4A_CCR6","DEFB4A","defensin, beta 4A","CCR6","chemokine (C-C motif) receptor 6","","","IUPHAR","HPRD","STRING.binding","","","CCR6","","known","literature supported","CC"
"735","DEFB4A_TLR4","DEFB4A","defensin, beta 4A","TLR4","toll-like receptor 4","","","","HPRD","","","","TLR4","","novel","literature supported","TLR"
"736","DEFB4B_CCR6","DEFB4B","defensin, beta 4B","CCR6","chemokine (C-C motif) receptor 6","","","IUPHAR","","","","","CCR6","","known","literature supported","CC"
"737","DHH_BOC","DHH","desert hedgehog","BOC","BOC cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","DHH","BOC","20519495","novel","literature supported","Hedgehog"
"738","DHH_CDON","DHH","desert hedgehog","CDON","cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","DHH","CDON","20519495","novel","literature supported","Hedgehog"
"739","DHH_HHIP","DHH","desert hedgehog","HHIP","hedgehog interacting protein","","HPMR","","HPRD","STRING.binding","STRING.experiment","DHH","HHIP","","known","literature supported","Hedgehog"
"740","DHH_PTCH1","DHH","desert hedgehog","PTCH1","patched 1","","","","HPRD","STRING.binding","","DHH","PTCH","","novel","literature supported","Hedgehog"
"741","DHH_PTCH2","DHH","desert hedgehog","PTCH2","patched 2","","HPMR","","HPRD","STRING.binding","","DHH","PTCH2","","known","literature supported","Hedgehog"
"742","DKK1_KREMEN1","DKK1","dickkopf WNT signaling pathway inhibitor 1","KREMEN1","kringle containing transmembrane protein 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK1","KREMEN1","","known","literature supported","WNT"
"743","DKK1_KREMEN2","DKK1","dickkopf WNT signaling pathway inhibitor 1","KREMEN2","kringle containing transmembrane protein 2","","HPMR","","","STRING.binding","","DKK1","KREMEN2","","known","literature supported","WNT"
"744","DKK1_LRP5","DKK1","dickkopf WNT signaling pathway inhibitor 1","LRP5","low density lipoprotein receptor-related protein 5","","","","HPRD","STRING.binding","","DKK1","LRP5","","novel","literature supported","WNT"
"745","DKK1_LRP6","DKK1","dickkopf WNT signaling pathway inhibitor 1","LRP6","low density lipoprotein receptor-related protein 6","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK1","LRP6","","known","literature supported","WNT"
"746","DKK2_KREMEN2","DKK2","dickkopf WNT signaling pathway inhibitor 2","KREMEN2","kringle containing transmembrane protein 2","","","","","STRING.binding","","DKK2","KREMEN2","12527209","novel","literature supported","WNT"
"747","DKK2_LRP6","DKK2","dickkopf WNT signaling pathway inhibitor 2","LRP6","low density lipoprotein receptor-related protein 6","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK2","LRP6","","known","literature supported","WNT"
"748","DLK1_NOTCH1","DLK1","delta-like 1 homolog (Drosophila)","NOTCH1","notch 1","DLRP","","","","STRING.binding","","","NOTCH1","21419176","known","literature supported","NOTCH"
"749","DLK1_NOTCH2","DLK1","delta-like 1 homolog (Drosophila)","NOTCH2","notch 2","DLRP","","","","","","","NOTCH2","","known","putative","NOTCH"
"750","DLK1_NOTCH3","DLK1","delta-like 1 homolog (Drosophila)","NOTCH3","notch 3","DLRP","","","","","","","NOTCH3","","known","putative","NOTCH"
"751","DLK1_NOTCH4","DLK1","delta-like 1 homolog (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","","NOTCH4","","known","putative","NOTCH"
"752","DLK2_NOTCH1","DLK2","delta-like 2 homolog (Drosophila)","NOTCH1","notch 1","","","","","","","","","21419176","novel","literature supported","NOTCH"
"753","DLL1_NOTCH1","DLL1","delta-like 1 (Drosophila)","NOTCH1","notch 1","DLRP","HPMR","","HPRD","STRING.binding","","DLL1","NOTCH1","","known","literature supported","NOTCH"
"754","DLL1_NOTCH2","DLL1","delta-like 1 (Drosophila)","NOTCH2","notch 2","DLRP","","","HPRD","STRING.binding","STRING.experiment","DLL1","NOTCH2","","known","literature supported","NOTCH"
"755","DLL1_NOTCH3","DLL1","delta-like 1 (Drosophila)","NOTCH3","notch 3","DLRP","","","HPRD","STRING.binding","STRING.experiment","DLL1","NOTCH3","","known","literature supported","NOTCH"
"756","DLL1_NOTCH4","DLL1","delta-like 1 (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","DLL1","NOTCH4","","known","putative","NOTCH"
"757","DLL3_NOTCH1","DLL3","delta-like 3 (Drosophila)","NOTCH1","notch 1","DLRP","","","","","","DLL3","NOTCH1","","known","putative","NOTCH"
"758","DLL3_NOTCH2","DLL3","delta-like 3 (Drosophila)","NOTCH2","notch 2","DLRP","","","","","","DLL3","NOTCH2","","known","putative","NOTCH"
"759","DLL3_NOTCH3","DLL3","delta-like 3 (Drosophila)","NOTCH3","notch 3","DLRP","","","","","","DLL3","NOTCH3","","known","putative","NOTCH"
"760","DLL3_NOTCH4","DLL3","delta-like 3 (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","DLL3","NOTCH4","","known","putative","NOTCH"
"761","DLL4_NOTCH1","DLL4","delta-like 4 (Drosophila)","NOTCH1","notch 1","DLRP","HPMR","","HPRD","STRING.binding","","DLL4","NOTCH1","","known","literature supported","NOTCH"
"762","DLL4_NOTCH2","DLL4","delta-like 4 (Drosophila)","NOTCH2","notch 2","DLRP","","","","STRING.binding","","DLL4","NOTCH2","22842086","known","literature supported","NOTCH"
"763","DLL4_NOTCH3","DLL4","delta-like 4 (Drosophila)","NOTCH3","notch 3","DLRP","","","","STRING.binding","","DLL4","NOTCH3","18182388","known","literature supported","NOTCH"
"764","DLL4_NOTCH4","DLL4","delta-like 4 (Drosophila)","NOTCH4","notch 4","DLRP","HPMR","","HPRD","","","DLL4","NOTCH4","","known","literature supported","NOTCH"
"765","DSCAM_DCC","DSCAM","Down syndrome cell adhesion molecule","DCC","deleted in colorectal carcinoma","","","","","STRING.binding","","","DCC","","novel","putative","UNCAT"
"766","DUSP18_CD151","DUSP18","dual specificity phosphatase 18","CD151","CD151 molecule (Raph blood group)","","HPMR","","","","","DUSP18","CD151","","known","EXCLUDED not ligand","UNCAT"
"767","DUSP18_ITGA1","DUSP18","dual specificity phosphatase 18","ITGA1","integrin, alpha 1","","HPMR","","","","","DUSP18","ITGA1","","known","EXCLUDED not ligand","UNCAT"
"768","DUSP18_ITGA2","DUSP18","dual specificity phosphatase 18","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","HPMR","","","","","DUSP18","ITGA2","","known","EXCLUDED not ligand","UNCAT"
"769","DUSP18_ITGA3","DUSP18","dual specificity phosphatase 18","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","","HPMR","","","","","DUSP18","ITGA3","","known","EXCLUDED not ligand","UNCAT"
"770","DUSP18_ITGA6","DUSP18","dual specificity phosphatase 18","ITGA6","integrin, alpha 6","","HPMR","","","","","DUSP18","ITGA6","","known","EXCLUDED not ligand","UNCAT"
"771","DUSP18_ITGA7","DUSP18","dual specificity phosphatase 18","ITGA7","integrin, alpha 7","","HPMR","","","","","DUSP18","ITGA7","","known","EXCLUDED not ligand","UNCAT"
"772","DUSP18_ITGB1","DUSP18","dual specificity phosphatase 18","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","","","DUSP18","ITGB1","","known","EXCLUDED not ligand","UNCAT"
"773","DUSP18_ITGB4","DUSP18","dual specificity phosphatase 18","ITGB4","integrin, beta 4","","HPMR","","","","","DUSP18","ITGB4","","known","EXCLUDED not ligand","UNCAT"
"774","DUSP18_RPSA","DUSP18","dual specificity phosphatase 18","RPSA","ribosomal protein SA","","HPMR","","","","","DUSP18","RPSA","","known","EXCLUDED not ligand","UNCAT"
"775","EBI3_IL27RA","EBI3","Epstein-Barr virus induced 3","IL27RA","interleukin 27 receptor, alpha","","","","HPRD","STRING.binding","","","","","novel","literature supported","UNCAT"
"776","EBI3_IL6ST","EBI3","Epstein-Barr virus induced 3","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","","","","","STRING.binding","","","IL6ST","","novel","putative","UNCAT"
"777","ECM1_CACHD1","ECM1","extracellular matrix protein 1","CACHD1","cache domain containing 1","","","","","STRING.binding","","","","","novel","putative","UNCAT"
"778","EDA_EDA2R","EDA","ectodysplasin A","EDA2R","ectodysplasin A2 receptor","","HPMR","IUPHAR","HPRD","","","EDA","EDA2R","","known","literature supported","TNF"
"779","EDA_EDAR","EDA","ectodysplasin A","EDAR","ectodysplasin A receptor","","HPMR","IUPHAR","HPRD","","STRING.experiment","EDA","EDAR","","known","literature supported","TNF"
"780","EDIL3_ITGAV","EDIL3","EGF-like repeats and discoidin I-like domains 3","ITGAV","integrin, alpha V","","","","HPRD","STRING.binding","","","ITGAV","","novel","literature supported","Interleukins"
"781","EDIL3_ITGB5","EDIL3","EGF-like repeats and discoidin I-like domains 3","ITGB5","integrin, beta 5","","","","","STRING.binding","","","ITGB5","","novel","putative","Interleukins"
"782","EDN1_EDNRA","EDN1","endothelin 1","EDNRA","endothelin receptor type A","","HPMR","IUPHAR","HPRD","STRING.binding","","EDN1","EDNRA","","known","literature supported","Vasoactive"
"783","EDN1_EDNRB","EDN1","endothelin 1","EDNRB","endothelin receptor type B","","","","HPRD","STRING.binding","","EDN1","EDNRB","","novel","literature supported","Vasoactive"
"784","EDN1_ELTD1","EDN1","endothelin 1","ELTD1","EGF, latrophilin and seven transmembrane domain containing 1","","","","","STRING.binding","","EDN1","ELTD1","","novel","putative","Vasoactive"
"785","EDN1_KEL","EDN1","endothelin 1","KEL","Kell blood group, metallo-endopeptidase","","","","HPRD","","","EDN1","","","novel","literature supported","Vasoactive"
"786","EDN2_EDNRA","EDN2","endothelin 2","EDNRA","endothelin receptor type A","","HPMR","IUPHAR","","STRING.binding","","EDN2","EDNRA","","known","literature supported","UNCAT"
"787","EDN2_EDNRB","EDN2","endothelin 2","EDNRB","endothelin receptor type B","","","","","STRING.binding","","EDN2","EDNRB","14659083","novel","literature supported","UNCAT"
"788","EDN2_KEL","EDN2","endothelin 2","KEL","Kell blood group, metallo-endopeptidase","","","","HPRD","","","EDN2","","","novel","literature supported","UNCAT"
"789","EDN3_EDNRA","EDN3","endothelin 3","EDNRA","endothelin receptor type A","","","","HPRD","STRING.binding","","EDN3","EDNRA","","novel","literature supported","UNCAT"
"790","EDN3_EDNRB","EDN3","endothelin 3","EDNRB","endothelin receptor type B","","HPMR","IUPHAR","HPRD","STRING.binding","","EDN3","EDNRB","","known","literature supported","UNCAT"
"791","EDN3_KEL","EDN3","endothelin 3","KEL","Kell blood group, metallo-endopeptidase","","","","HPRD","","","EDN3","","","novel","literature supported","UNCAT"
"792","EFEMP1_EGFR","EFEMP1","EGF containing fibulin-like extracellular matrix protein 1","EGFR","epidermal growth factor receptor","","","","","STRING.binding","","","EGFR","19804359","novel","literature supported","EGF"
"793","EFEMP2_AQP1","EFEMP2","EGF containing fibulin-like extracellular matrix protein 2","AQP1","aquaporin 1 (Colton blood group)","","","","HPRD","","","","","","novel","literature supported","UNCAT"
"794","EFEMP2_CATSPER1","EFEMP2","EGF containing fibulin-like extracellular matrix protein 2","CATSPER1","cation channel, sperm associated 1","","","","HPRD","","","","","","novel","literature supported","UNCAT"
"795","EFEMP2_LINGO1","EFEMP2","EGF containing fibulin-like extracellular matrix protein 2","LINGO1","leucine rich repeat and Ig domain containing 1","","","","HPRD","","","","LRRN6A","","novel","literature supported","UNCAT"
"796","EFEMP2_PLSCR4","EFEMP2","EGF containing fibulin-like extracellular matrix protein 2","PLSCR4","phospholipid scramblase 4","","","","HPRD","","","","","","novel","literature supported","UNCAT"
"797","EFNA1_EPHA1","EFNA1","ephrin-A1","EPHA1","EPH receptor A1","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","EFNA1","EPHA1","","known","literature supported","Ephrins"
"798","EFNA1_EPHA2","EFNA1","ephrin-A1","EPHA2","EPH receptor A2","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","EFNA1","EPHA2","","known","literature supported","Ephrins"
"799","EFNA1_EPHA3","EFNA1","ephrin-A1","EPHA3","EPH receptor A3","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","EFNA1","EPHA3","","known","literature supported","Ephrins"
"800","EFNA1_EPHA4","EFNA1","ephrin-A1","EPHA4","EPH receptor A4","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","EFNA1","EPHA4","","known","literature supported","Ephrins"
"801","EFNA1_EPHA5","EFNA1","ephrin-A1","EPHA5","EPH receptor A5","DLRP","HPMR","","HPRD","","STRING.experiment","EFNA1","EPHA5","","known","literature supported","Ephrins"
"802","EFNA1_EPHA6","EFNA1","ephrin-A1","EPHA6","EPH receptor A6","","HPMR","","HPRD","","STRING.experiment","EFNA1","EPHA6","","known","literature supported","Ephrins"
